generator_id,generator_name,district,generator_type,latitude,longitude,waste_type,year,month,quantity_tonnes
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2020,1,95.1
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2020,2,90.8
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2020,3,113.4
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2020,4,107.7
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2020,5,86.2
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2020,6,105.2
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2020,7,96.6
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2020,8,96.5
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2020,9,95.2
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2020,10,90.3
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2020,11,85.3
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2020,12,93.7
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2021,1,113.8
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2021,2,88.8
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2021,3,114.0
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2021,4,91.3
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2021,5,95.8
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2021,6,109.7
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2021,7,109.8
ahmedabad_municipal_zone___maninagar,Ahmedabad Municipal Zone - Maninagar,Ahmedabad,MUNICIPALITY,23.056045768060347,72.64932242444996,ORGANIC_WASTE,2021,8,98.1
